text,author,score,datetime
"i have a 2014 leaf and commute 64 miles per day,no problems,1.85 cost on nitely recharge",@bubbybunyan3883,0,2024-05-03T21:36:37Z
"Excellent review right here , Thanks.",@stevensmith8454,0,2024-04-27T18:59:59Z
"A lot of noncense, i drive a Nissan Leaf since 2018. . No problems at all. Okay chademo not the standard anymore bur available ,  I  drove from Holland to the south of France. , nor any problem by loading with chademo I like this car..",@ariejanbak7521,1,2024-04-25T15:28:13Z
About electric hand brake. I have Nconnecta model so I can say that it doesn't have that. Instead it has a foot pedal break and it works by pressing the pedal down (and also releases by pressing it down). Is it still hand brake if you use it with your foot? I don't know. But it works very well and it never goes on or off by itself. It is all manual.,@user-pz8sf8rb8i,0,2024-04-21T18:00:50Z
Plenty of smarty-pants negative comments on here but these are mainly by know-all types and best to ignore. I use the Leaf for short journeys and town driving for which it is a real winner. Home charging means I am saving big bucks.,@jaxthename,1,2024-04-17T21:10:06Z
I gather the charging rate (3:33) was 6.6kW for 7 hours (46kWh),@cambridgemart2075,1,2024-04-05T17:49:25Z
"I'm thinking of trying either a late 30kwh gen1 or early gen2 leaf on my parents. They are getting on and increasingly use their small car for very short trips, less than a mile and a half each way. They used to walk most of the time but aren't so capable of that now. The small petrol car they have doesn't even fully warm up, sometimes for several trips in a row and as a result is causing the warning light to come on. They never take it more than about 30 miles from home either and rarely that far, so an 80 mile range and only home charging is no problem. An electric motor doesn't care how short your journeys are. 
The only problem is my Dad won't have one because it wouldn't be capable of a theoretical journey that he hasn't been on in the last 15 years and never will go on anyway, but he will have a petrol car even though it is likely to mean some huge bills in the future when the catalytic converter dies due to the useage.",@bazzacuda_,2,2024-03-29T00:57:46Z
It is Japanese yes dated in design and tech but it will be reliable if looked after! Think about that aspect.,@atlaspath5803,1,2024-03-18T05:52:39Z
"Of course you like the look of the speedometer....looks like a Daewoo Matiz one
There is never ""to much power ""😂",@justme-uw2hc,0,2024-03-15T16:57:34Z
"I've owned an e+ Tekna one of these for three years and am very happy with it. Even the 62 kWh doesn't have any battery active thermal management, but it matters less with the bigger battery.

Don't do much public charging, but on one occasion, I jumped the queue for CCS as I was the only car that could use the one chademo connector 🤣",@timw1971,2,2024-03-04T11:20:06Z
"Great video 👍 There is a CCS to ChaDeMo adapter but very expensive at almost 2k dollars 😬 Dales EV repair has some great videos about the development and final product. BR, Per (Denmark)",@nakfan,1,2024-02-23T03:48:29Z
"Hate the way that car styling is going with the angular lines all at conflict with each other. This car essentially the same shell underneath, but Nissan felt the need to remove all the smooth curves and replace with odd angular shapes.",@a1white,1,2024-02-18T10:23:03Z
Let's just pause a while and reflect on all those who got bitten by the EV  bug and rushed out to buy a Leaf...................................😅😅😅😅😅😅😅,@QuoPaperPlane,2,2024-02-17T19:20:13Z
"It was never vey good, no BMS.  Shame.",@toad008,0,2024-02-16T19:21:21Z
there are design compromises when building a chasis for petrol and electric. nissan and tesla started electric cars and have the best track record. nissan will be all electric soon too!,@MatthewEng2593,1,2024-02-16T18:56:06Z
"Ive had a leaf now for almost 5 years. Its a great family car, for the price, an interesting option for those able to charge at home.",@logividarsson9031,2,2024-02-14T14:09:52Z
ive one on company am leaving job considering buying on finance payments personal be 450 a month but would be me owning it instead. But how long before a need yo reaplce the battery pack am already on year 3 range is still good and 100% health. but ive already paid 3 years if a take finance be a futher five years paying it off,@dotnetdevni,0,2024-02-10T04:29:39Z
It’s a good reliable and affordable EV for people who are really on a tight budget and who wants an electric vehicle it’s simple and minimalistic.,@EVUSERS98,2,2024-02-03T05:53:55Z
"A more balanced review of a fairly modern car regardless of the power source.

A vehicle with a reliable 150 miles even in winter is more than sufficient for 95% of drivers.  The average car use per day is around 20 miles in the UK and most people do not go on journeys of over 100 miles with any sort of regularity.

We have an EV.  It's not a Nissan though it has similar battery capacity and motor power but will do more real miles than the Nissan does.   Our everyday need is low but round trips with an oldie to the hospital can result in 80 plus mile days.

We now have the ability to charge on cheap juice overnight even though we live in a Victorian terrace.  Local authorities are slowly but surely making this happen.

I love cars and my all time favourite is the Ford Anglia 123E Super with the 1200cc engine.  We had a 1967 vintage version and I loved everything about that car.   To be brutally honest though in the modern world a modern car is so much safer and more practical.",@michaelgoode9555,2,2024-02-02T10:32:21Z
Wonder if you can get an adaptor for that charging? Just a thought .,@gazzertrn,0,2024-02-01T19:15:59Z
Awww this reminds me of old fashion hub nut. I miss those days,@ttbdrummer,1,2024-01-31T22:50:07Z
"This car is 10 Years behind the Hyundai Kona
Kona 40kwh has Alien Technology compared with this one it gets a 110 miles more from the same 40kwh capacity 😳",@niceboy60,0,2024-01-31T17:46:09Z
"I love my Nissan Leaf, but I do wish it had from the onset ATM and CCS. Though at least there's an adaptor on the way. And it's perfect for my needs. Not to mention that it drives well in the winter, if for the shortened range.",@AurumUsagi,0,2024-01-30T18:43:21Z
"Wow, i didn't expect to hear Aberystwyth when clicking on this video. Lived there for 3 years and i miss is dearly, i'd move back in a heartbeat if i could.",@Quickb3n,1,2024-01-30T10:51:09Z
"Chademo is an actual standard whereas CCS has variations between manufacturers. Chademo is also designed with V2G in mind and V2G/V2H functionality was mandated for Japanese manufactured EVs in the wake of Fukushima as is presents the potential for EVs to provide grid resilience by acting en-masse as a utility scale grid storage facility.

We're onto our second Leaf (2012 24kWh, 2016 30kWh) and use of public charging is virtually nil for us. The upgrade was actually done last year with V2G very much in mind as we have solar and I'm hesitant to spend money on a static battery when a Leaf can do the job plus provide mobility.

Some very interesting info to be had in Robert Llewellyn's interview of David Slutzky of Fermata Energy on V2G's potential in electricity supply resilience and gaining income from your Leaf by way of their bidirectional charging functionality. Worth noting also that EV manufacturers are reacting to V2G demand and are now increasingly incorporating this in their vehicles, but the humble Leaf has had this almost from its debut.",@HarmLessSolutionsNZ,1,2024-01-27T01:18:08Z
"As far as cold weather goes ... the 2019 LEAF we bought two months ago has just been through a week of sub-minus-30 weather. (I live in Saskatchewan, because I am insane.) Never needs a boost, the cabin heats up in five minutes compared to 20-30 for the old Civic. The range isn't great even with the 62kWh battery, probably 150km in that bitter cold, but we're not regular highway drivers so it's just fine - and that's a worst case range, worse than worst-case for you Brits. Plug it into the side of the house at night, it's charged in the morning and you really don't need more than that. Best winter city driving car I've ever owned. I kinda like the ""old-fashioned"" interior with buttons for most things rather than having to navigate touch screen menus, too.",@stmisbehavin662,3,2024-01-27T01:01:29Z
"Great video, but you can leave the parking brake on the 500e off... https://youtu.be/WiTimog-TSk",@theweekthatis,0,2024-01-25T19:21:57Z
"I believe that a CCS to Chademo adapter is now available. I saw a video about it recently.

https://www.youtube.com/watch?v=wydql2N_F-k",@aftonline,3,2024-01-25T09:29:23Z
Very fair and balanced assessment.,@briangriffiths114,1,2024-01-24T13:07:31Z
Is that a man made sea wall of some sort at the end?,@alastairward2774,0,2024-01-24T12:56:10Z
"Id still LOVE to have a Leaf despite its age, im a big Nissan fan anyway but ev cost is still above my wallet level (and others?) and i think thats what is holding them back right now 😢",@Boating_David,0,2024-01-24T00:10:30Z
"I've had a 2014 Leaf (24kWh) since 2019 and it was the most expensive second hand car I've ever bought (£7,500). But 4½ years later it's paid for its purchase price in fuel savings alone compared to the 2005 Honda Civic it replaced. In October we had a V2H (Vehicle to Home) charger fitted and now I can charge it on cheap overnight electricity and use it as a battery to power my house (and soak up free power from my solar panels). For our family it's the gift that keeps on giving.

It's a great daily driver, like you said it's not exciting but it's very competent and it only costs us 2.3p/mile if we charge at home (we get a lot of free solar miles in the Summer too).

The bump in the middle of the rear floor is where the high voltage emergency disconnect lives, in the event of an accident the emergency services can pop it open and remove a plug to isolate the battery. With regard to Chademo, we're just beginning to see CCS to Chademo adapters as commercial products (>£800) so there will be some scope to keep using Chademo vehicles in the future.",@jarthurs,1,2024-01-23T22:09:45Z
